sr_no,state,work,work_id,ida,honble_members_of_parliament,constituency,expenditure_date,vendor_name,payment_status,fund_disbursed_amount,amount
9638,Meghalaya,Construction of rooms and halls in school and colleges,WS/MP18137/2025-2026/233839,RI BHOI(DEPUTY COMMISSIONER RIBHOI NONGPOH_IDA),ANDREW J. SYNGKON,SHILLONG,2026-03-23,Sumarlang Lyngdoh,Payment Success,375000,375000.0
9639,Meghalaya,Construction of foot over bridge (FOB),WS/MP18137/2025-2026/250844,RI BHOI(DEPUTY COMMISSIONER RIBHOI NONGPOH_IDA),ANDREW J. SYNGKON,SHILLONG,2026-03-23,Sumarlang Lyngdoh,Payment Success,160000,160000.0
9640,Gujarat,Construction of water tanks,WS/MP18054/2025-2026/236401,MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA),HARIBHAI PATEL,MAHESANA,2026-06-22,GRAM PANCHAYAT JORNANG,Payment Success,199532,199532.0
9641,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP577/2025-2026/223016,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),2026-03-25,GRAM PANCHAYAT JAALAT,Payment Success,245955,245955.0
9642,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP818/2025-2026/243658,ETAWAH(DISTRICT MAGISTRATE ETAWAH_IDA),Smt Dimple Yadav,MAINPURI,2026-03-21,Ms Sudheer Traders,Payment Success,1747830,1747830.0
9643,Odisha,Construction of community centers and community halls,WS/MP370/2024-2025/145537,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Shri Jual Oram,SUNDARGARH (ST),2026-05-21,RUPAK KUMAR PATEL,Payment Success,465107,465107.0
9644,Odisha,Construction of community centers and community halls,WS/MP370/2024-2025/145536,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Shri Jual Oram,SUNDARGARH (ST),2026-03-23,RUPAK KUMAR PATEL,Payment Success,183938,183938.0
9645,Himachal Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18328/2025-2026/258764,CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA),Kangana Ranaut,MANDI,2026-03-24,BDO BHARMOUR MPLADS,Payment Success,400000,400000.0
9646,Himachal Pradesh,Construction of footpaths and pedestrian ways,WS/MP18328/2025-2026/258769,CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA),Kangana Ranaut,MANDI,2026-03-24,BDO BHARMOUR MPLADS,Payment Success,200000,200000.0
9647,Himachal Pradesh,Setting up of kitchen and pantries,WS/MP18328/2024-2025/149978,CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA),Kangana Ranaut,MANDI,2026-03-24,BDO BHARMOUR MPLADS,Payment Success,200000,200000.0
