sr_no,work_category,work,state,ida,honble_members_of_parliament,constituency,work_description,recommended_date,sanction_date,sanction_amount,work_status,work_id,amount
1671,Normal/Others,WS/MP641/2024-2025/138914-Purchase of hospital equipment,Madhya Pradesh,Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA),Gajendra Singh Patel,KHARGONE(ST),Purchase of hospital equipment Dead Body Freezer,04-Sep-2024,2024-11-20,236755,Physical Inspection,WS/MP641/2024-2025/138914,236755.0
1672,Normal/Others,WS/MP641/2024-2025/138915-Purchase of hospital equipment,Madhya Pradesh,Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA),Gajendra Singh Patel,KHARGONE(ST),Purchase of hospital equipment Dead Body Freezer,04-Sep-2024,2024-11-20,236003,Physical Inspection,WS/MP641/2024-2025/138915,236003.0
1673,Normal/Others,WS/MP641/2024-2025/138916-Purchase of hospital equipment,Madhya Pradesh,BARWANI(DISTRICT COLLECTOR BADWANI_IDA),Gajendra Singh Patel,KHARGONE(ST),Purchase of hospital equipment Dead Body Freezer,04-Sep-2024,2024-12-30,236003,Physical Inspection,WS/MP641/2024-2025/138916,236003.0
1674,Normal/Others,WS/MP641/2024-2025/138918-Purchase of hospital equipment,Madhya Pradesh,BARWANI(DISTRICT COLLECTOR BADWANI_IDA),Gajendra Singh Patel,KHARGONE(ST),Purchase of hospital equipment Dead body freezer,04-Sep-2024,2024-12-30,236003,Physical Inspection,WS/MP641/2024-2025/138918,236003.0
1675,Normal/Others,WS/MP641/2024-2025/138919-Purchase of hospital equipment,Madhya Pradesh,BARWANI(DISTRICT COLLECTOR BADWANI_IDA),Gajendra Singh Patel,KHARGONE(ST),Purchase of hospital equipment Dead Body Freezer,04-Sep-2024,2024-12-30,236003,Physical Inspection,WS/MP641/2024-2025/138919,236003.0
1676,Normal/Others,WS/MP641/2024-2025/138920-Purchase of hospital equipment,Madhya Pradesh,BARWANI(DISTRICT COLLECTOR BADWANI_IDA),Gajendra Singh Patel,KHARGONE(ST),Purchase of hospital equipment Dead Body Freezer,04-Sep-2024,2024-12-30,236003,Physical Inspection,WS/MP641/2024-2025/138920,236003.0
1677,Normal/Others,WS/MP641/2024-2025/138921-Purchase of hospital equipment,Madhya Pradesh,BARWANI(DISTRICT COLLECTOR BADWANI_IDA),Gajendra Singh Patel,KHARGONE(ST),Purchase of hospital equipment Dead Body Freezer,04-Sep-2024,2024-12-30,236003,Physical Inspection,WS/MP641/2024-2025/138921,236003.0
1678,Repair and Renovation,WS/MP423/2024-2025/138922-Construction of public libraries and reading rooms,West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Renovation of Two Storied Budge Budge Public Library Hall,04-Sep-2024,2024-12-24,1500000,Work partially Completed,WS/MP423/2024-2025/138922,1500000.0
1679,Repair and Renovation,WS/MP423/2025-2026/138923-Construction of rooms and halls in school and colleges,West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Building Repairing works of Rajibpur High School (H.S),04-Sep-2024,2025-05-02,1498000,Sanction,WS/MP423/2025-2026/138923,1498000.0
1680,Normal/Others,WS/MP641/2024-2025/138924-Purchase of hospital equipment,Madhya Pradesh,BARWANI(DISTRICT COLLECTOR BADWANI_IDA),Gajendra Singh Patel,KHARGONE(ST),Purchase of hospital equipment Dead Body Freezer,04-Sep-2024,2024-12-30,236003,Physical Inspection,WS/MP641/2024-2025/138924,236003.0
