sr_no,state,work,work_id,ida,honble_members_of_parliament,constituency,expenditure_date,vendor_name,payment_status,fund_disbursed_amount,amount
11927,Odisha,Street lights,WS/MP18149/2025-2026/183222,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-06,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11928,Odisha,Street lights,WS/MP18149/2025-2026/183223,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-24,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11929,Odisha,Street lights,WS/MP18149/2025-2026/183224,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-24,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11930,Odisha,Street lights,WS/MP18149/2025-2026/183225,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-06,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11931,Odisha,Street lights,WS/MP18149/2025-2026/183226,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-24,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11932,Odisha,Street lights,WS/MP18149/2025-2026/183227,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-06,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11933,Odisha,Street lights,WS/MP18149/2025-2026/183228,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-24,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11934,Odisha,Street lights,WS/MP18149/2025-2026/183229,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-24,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11935,Odisha,Street lights,WS/MP18149/2025-2026/183230,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-24,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11936,Odisha,Street lights,WS/MP18149/2025-2026/183231,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-07,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11937,Odisha,Street lights,WS/MP18149/2025-2026/183232,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-24,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11938,Odisha,Street lights,WS/MP18149/2025-2026/183233,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-24,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11939,Odisha,Street lights,WS/MP18149/2025-2026/183234,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-09,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11940,Odisha,Street lights,WS/MP18149/2025-2026/183235,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-07,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11941,Odisha,Street lights,WS/MP18149/2025-2026/183236,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-09,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11942,Odisha,Street lights,WS/MP18149/2025-2026/183237,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-07,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11943,Odisha,Street lights,WS/MP18149/2025-2026/183238,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-07,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11944,Odisha,Street lights,WS/MP18149/2025-2026/183239,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-07,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11945,Odisha,Street lights,WS/MP18149/2025-2026/183240,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-07,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11946,Odisha,Street lights,WS/MP18149/2025-2026/183177,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-24,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11947,Odisha,Street lights,WS/MP18149/2025-2026/183178,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-24,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11948,Odisha,Street lights,WS/MP18149/2025-2026/183179,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-09,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11949,Odisha,Street lights,WS/MP18149/2025-2026/183180,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-09,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11950,Odisha,Street lights,WS/MP18149/2025-2026/183181,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-06,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11951,Odisha,Street lights,WS/MP18149/2025-2026/183182,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-06,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11952,Odisha,Street lights,WS/MP18149/2025-2026/183183,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-06,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11953,Odisha,Street lights,WS/MP18149/2025-2026/183184,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-06,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11954,Odisha,Street lights,WS/MP18149/2025-2026/183186,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-06,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11955,Odisha,Street lights,WS/MP18149/2025-2026/183185,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-02-23,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11956,Odisha,Street lights,WS/MP18149/2025-2026/183187,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-24,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11957,Odisha,Street lights,WS/MP18149/2025-2026/183188,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-24,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11958,Odisha,Street lights,WS/MP18149/2025-2026/183189,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-07,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11959,Odisha,Street lights,WS/MP18149/2025-2026/183190,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-07,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11960,Odisha,Street lights,WS/MP18149/2025-2026/183191,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-24,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11961,Odisha,Street lights,WS/MP18149/2025-2026/183192,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-24,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11962,Odisha,Street lights,WS/MP18149/2025-2026/183193,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-09,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11963,Odisha,Street lights,WS/MP18149/2025-2026/183194,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-09,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11964,Odisha,Street lights,WS/MP18149/2025-2026/183195,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-24,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11965,Odisha,Street lights,WS/MP18149/2025-2026/183196,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-24,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11966,Odisha,Street lights,WS/MP18149/2025-2026/183197,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-24,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11967,Odisha,Street lights,WS/MP18149/2025-2026/183198,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-24,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11968,Odisha,Street lights,WS/MP18149/2025-2026/183199,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-24,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11969,Odisha,Street lights,WS/MP18149/2025-2026/183200,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-09,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11970,Odisha,Street lights,WS/MP18149/2025-2026/183201,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-09,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11971,Odisha,Street lights,WS/MP18149/2025-2026/183202,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-09,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11972,Odisha,Street lights,WS/MP18149/2025-2026/183203,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-24,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11973,Odisha,Street lights,WS/MP18149/2025-2026/183204,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-24,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11974,Odisha,Street lights,WS/MP18149/2025-2026/183205,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-09,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11975,Odisha,Street lights,WS/MP18149/2025-2026/183206,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-24,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11976,Odisha,Street lights,WS/MP18149/2025-2026/183207,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-24,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11977,Odisha,Street lights,WS/MP18149/2025-2026/183208,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-03-24,MISC ACCOUNT BDO RANPUR,Payment Success,400,400.0
11978,West Bengal,Providing drains and gutters for public drainage,WS/MP423/2025-2026/202277,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,2026-03-11,M S ENTERPRISE,Payment Success,47951,47951.0
11979,West Bengal,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP423/2025-2026/202280,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,2026-03-11,M S ENTERPRISE,Payment Success,126839,126839.0
11980,Kerala,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP345/2024-2025/161520,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),Shri NK Premachandran,KOLLAM,2026-04-17,BADARUDEEN K,Payment Success,563869,563869.0
11981,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18169/2025-2026/254549,RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA),MAHIMA KUMARI MEWAR,RAJSAMAND,2026-02-21,Shiv lal meghval,Payment Success,9100,9100.0
11982,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18169/2025-2026/254549,RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA),MAHIMA KUMARI MEWAR,RAJSAMAND,2026-02-21,Chandi bai,Payment Success,3900,3900.0
11983,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18169/2025-2026/254549,RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA),MAHIMA KUMARI MEWAR,RAJSAMAND,2026-02-21,Bhanwar lal meghwal,Payment Success,3900,3900.0
11984,Uttar Pradesh,Construction of rooms and halls in school and colleges,WS/MP18227/2024-2025/148293,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),DAROGA PRASAD SAROJ,LALGANJ (SC),2026-02-23,BABU RAGHUNATH JI M MAHA VIDYALAY,Payment Success,598697,598697.0
11985,Uttar Pradesh,Construction of rooms and halls in school and colleges,WS/MP18227/2024-2025/148293,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),DAROGA PRASAD SAROJ,LALGANJ (SC),2026-07-15,BABU RAGHUNATH JI M MAHA VIDYALAY,Payment Success,400303,400303.0
11986,Odisha,Street lights,WS/MP18149/2025-2026/183185,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,2026-02-23,PRASANTA KUMAR BEHERA,Payment Success,39100,39100.0
11987,Madhya Pradesh,Construction of shelters for animals,WS/MP18104/2025-2026/174658,RAISEN(DISTRICT COLLECTOR RAISEN_IDA),DARSHAN SINGH CHOUDHARY,HOSHANGABAD,2026-02-23,GIRIRAJ DHARAN GAU SHALA JEEV RAKSHA SAMITI RICHHAWAR,Payment Success,100000,100000.0
11988,West Bengal,Construction of community centers and community halls,WS/MP479/2025-2026/164539,BANKURA(DISTRICT MAGISTRATE BANKURA_IDA),Saumitra khan,BISHNUPUR(SC),2026-02-24,RAJESH KUMAR GHOSH,Payment Success,1149539,1149539.0
11989,Punjab,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18154/2025-2026/166574,GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA),SUKHJINDER SINGH RANDHAWA,GURDASPUR,2026-03-12,Numberdar Building Material,Payment Success,94000,94000.0
11990,Punjab,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18154/2025-2026/166574,GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA),SUKHJINDER SINGH RANDHAWA,GURDASPUR,2026-03-12,Super Tile Factory,Payment Success,149110,149110.0
11991,Punjab,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18154/2025-2026/166574,GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA),SUKHJINDER SINGH RANDHAWA,GURDASPUR,2026-03-12,Ranjit Singh,Payment Success,56890,56890.0
11992,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP578/2025-2026/208462,BHARUCH(DISTRICT COLLECTOR BROACH_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,2026-02-23,SANJALI GRAM PANCHAYAT,Payment Success,300000,300000.0
11993,Punjab,Construction of community centers and community halls,WS/MP18158/2025-2026/199758,PATIALA(DEPUTY COMMISSIONER PATIALA_IDA),DR DHARAMVIRA GANDHI,PATIALA,2026-04-28,Guru Nanak Cement Store,Payment Success,9360,9360.0
11994,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18209/2025-2026/231539,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),CHANDAN CHAUHAN,BIJNOR,2026-03-17,RAMBEER SINGH,Payment Success,719438,719438.0
11995,Haryana,Construction of additional rooms and halls in the existing public and community building,WS/MP591/2025-2026/197032,JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA),Krishan Pal Gurjar,FARIDABAD,2026-02-20,GRK CONSTRUCTION COMPANY,Payment Success,693377,693377.0
11996,Punjab,Installation of multi-gym equipment,WS/MP381/2025-2026/227440,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,AMRITSAR,2026-03-11,Shivin Construction and Co,Payment Success,496500,496500.0
11997,Punjab,Installation of multi-gym equipment,WS/MP381/2025-2026/254859,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,AMRITSAR,2026-04-28,Shivin Construction and Co,Payment Success,296500,296500.0
11998,Punjab,Construction of community centers and community halls,WS/MP381/2026-2027/277847,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,AMRITSAR,2026-07-08,Shivin Construction and Co,Payment Success,499000,499000.0
11999,Punjab,Construction of community centers and community halls,WS/MP381/2026-2027/277848,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,AMRITSAR,2026-07-08,Shivin Construction and Co,Payment Success,499500,499500.0
12000,Punjab,Construction of community centers and community halls,WS/MP381/2025-2026/228380,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,AMRITSAR,2026-02-21,Shivin Construction and Co,Payment Success,197000,197000.0
12001,Punjab,Construction of community centers and community halls,WS/MP381/2025-2026/228367,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,AMRITSAR,2026-02-21,Shivin Construction and Co,Payment Success,195900,195900.0
12002,Punjab,Construction of community centers and community halls,WS/MP381/2025-2026/228368,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,AMRITSAR,2026-02-21,Shivin Construction and Co,Payment Success,196200,196200.0
12003,Punjab,Construction of community centers and community halls,WS/MP381/2025-2026/228370,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,AMRITSAR,2026-02-21,Shivin Construction and Co,Payment Success,197800,197800.0
12004,Bihar,Construction of public staircase/ stair ghat for public convenience,WS/MP316/2025-2026/227531,SARAN(DISTRICT PLANNING OFFICE SARAN CHAPRA_IDA),Shri Janardan Singh Sigriwal,MAHARAJGANJ_BR,2026-07-21,HARI SHANKAR SINGH,Payment Success,631056,631056.0
12005,Bihar,Construction of public staircase/ stair ghat for public convenience,WS/MP316/2025-2026/262959,SARAN(DISTRICT PLANNING OFFICE SARAN CHAPRA_IDA),Shri Janardan Singh Sigriwal,MAHARAJGANJ_BR,2026-06-13,HARI SHANKAR SINGH,Payment Success,1044030,1044030.0
12006,Tamil Nadu,"Purchase of smart boards, visual display units and projectors",WS/MP18174/2025-2026/269192,COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA),GANAPATHY RAJKUMAR P,COIMBATORE,2026-02-26,MAC Systems,Payment Success,400000,400000.0
12007,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18326/2025-2026/160458,SURENDRANAGAR(DISTRICT COLLECTOR SURENDRANAGAR_IDA),CHANDUBHAI CHHAGANBHAI SHIHORA,SURENDRANAGAR,2026-02-20,VIJALIYA GRAM PANCHAYAT,Payment Success,399779,399779.0
12008,Tamil Nadu,Setting up public non-conventional energy plants,WS/MP18176/2025-2026/185568,DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA),SACHITHANANTHAM R,DINDIGUL,2026-02-24,S A M ENTERPRISES,Payment Success,498735,498735.0
12009,Assam,Construction of buildings for community cultural activities,WS/MP18026/2025-2026/200686,CHIRANG(Deputy Commissioner Chirang_IDA),JOYANTA BASUMATARY,KOKRAJHAR (ST),2026-02-23,HRIDLOI BASUMATARY,Payment Success,1125000,1125000.0
12010,Assam,Construction of buildings for community cultural activities,WS/MP18026/2025-2026/200686,CHIRANG(Deputy Commissioner Chirang_IDA),JOYANTA BASUMATARY,KOKRAJHAR (ST),2026-07-03,HRIDLOI BASUMATARY,Payment Success,375000,375000.0
12011,Gujarat,Construction of community centers and community halls,WS/MP18325/2024-2025/166322,BHAVNAGAR(DISTRICT COLLECTOR BHAVNAGAR_IDA),NIMUBEN JAYANTIBHAI BAMBHANIYA,BHAVNAGAR,2026-03-31,JAMVALI GRAM PANCHAYAT,Payment Success,500000,500000.0
12012,Arunachal Pradesh,"Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",WS/MP533/2025-2026/260044,PAPUM PARE(DEPUTY COMMISSIONER PAPUM PARE_IDA),Kiren Rijiju,ARUNACHAL WEST,2026-03-24,Lindum Taju Enterprise,Payment Success,397486,397486.0
12013,Tamil Nadu,"Purchase of smart boards, visual display units and projectors",WS/MP758/2025-2026/201698,KARUR(DISTRICT COLLECTOR KARUR_IDA),Smt S Jothimani,KARUR,2026-03-18,RAMESH,Payment Success,199987,199987.0
12014,Tamil Nadu,"Purchase of smart boards, visual display units and projectors",WS/MP758/2025-2026/201547,KARUR(DISTRICT COLLECTOR KARUR_IDA),Smt S Jothimani,KARUR,2026-03-18,RAMESH,Payment Success,199966,199966.0
12015,Tamil Nadu,"Purchase of smart boards, visual display units and projectors",WS/MP758/2025-2026/201548,KARUR(DISTRICT COLLECTOR KARUR_IDA),Smt S Jothimani,KARUR,2026-03-18,RAMESH,Payment Success,199966,199966.0
12016,Tamil Nadu,"Purchase of smart boards, visual display units and projectors",WS/MP758/2025-2026/201549,KARUR(DISTRICT COLLECTOR KARUR_IDA),Smt S Jothimani,KARUR,2026-03-18,RAMESH,Payment Success,199966,199966.0
12017,Tamil Nadu,"Purchase of smart boards, visual display units and projectors",WS/MP758/2025-2026/201550,KARUR(DISTRICT COLLECTOR KARUR_IDA),Smt S Jothimani,KARUR,2026-03-18,RAMESH,Payment Success,199968,199968.0
12018,Tamil Nadu,"Purchase of smart boards, visual display units and projectors",WS/MP758/2025-2026/201551,KARUR(DISTRICT COLLECTOR KARUR_IDA),Smt S Jothimani,KARUR,2026-03-18,RAMESH,Payment Success,199966,199966.0
12019,Tamil Nadu,"Purchase of smart boards, visual display units and projectors",WS/MP758/2025-2026/201552,KARUR(DISTRICT COLLECTOR KARUR_IDA),Smt S Jothimani,KARUR,2026-03-18,RAMESH,Payment Success,199966,199966.0
12020,Tamil Nadu,"Purchase of smart boards, visual display units and projectors",WS/MP758/2025-2026/201553,KARUR(DISTRICT COLLECTOR KARUR_IDA),Smt S Jothimani,KARUR,2026-03-25,RAMESH,Payment Success,199966,199966.0
12021,Tamil Nadu,"Purchase of smart boards, visual display units and projectors",WS/MP758/2025-2026/201554,KARUR(DISTRICT COLLECTOR KARUR_IDA),Smt S Jothimani,KARUR,2026-03-18,RAMESH,Payment Success,199986,199986.0
12022,Tamil Nadu,"Purchase of smart boards, visual display units and projectors",WS/MP758/2025-2026/201579,KARUR(DISTRICT COLLECTOR KARUR_IDA),Smt S Jothimani,KARUR,2026-03-18,RAMESH,Payment Success,199968,199968.0
12023,Tamil Nadu,"Purchase of smart boards, visual display units and projectors",WS/MP758/2025-2026/201582,KARUR(DISTRICT COLLECTOR KARUR_IDA),Smt S Jothimani,KARUR,2026-03-18,RAMESH,Payment Success,199966,199966.0
12024,Odisha,Construction of community centers and community halls,WS/MP18310/2025-2026/200843,BHADRAK(DISTRICT COLLECTOR BHADRAK_IDA),AVIMANYU SETHI,BHADRAK(SC),2026-02-19,BHARAT TRADERS,Payment Success,500000,500000.0
12025,Rajasthan,Construction of common work sheds/ common covered sitting area,WS/MP18170/2025-2026/218461,SIKAR(DISTRICT COLLECTOR SIKAR_IDA),AMRARAM,SIKAR,2026-05-05,Surendra kumar yadav,Payment Success,11050,11050.0
12026,Rajasthan,Construction of common work sheds/ common covered sitting area,WS/MP18170/2025-2026/218461,SIKAR(DISTRICT COLLECTOR SIKAR_IDA),AMRARAM,SIKAR,2026-05-05,meera garhwal,Payment Success,3705,3705.0
12027,Rajasthan,Construction of common work sheds/ common covered sitting area,WS/MP18170/2025-2026/218461,SIKAR(DISTRICT COLLECTOR SIKAR_IDA),AMRARAM,SIKAR,2026-05-05,Rukma Devi,Payment Success,3705,3705.0
12028,Rajasthan,Construction of common work sheds/ common covered sitting area,WS/MP18170/2025-2026/218461,SIKAR(DISTRICT COLLECTOR SIKAR_IDA),AMRARAM,SIKAR,2026-05-05,Hansa Devi,Payment Success,3705,3705.0
12029,Rajasthan,Construction of common work sheds/ common covered sitting area,WS/MP18170/2025-2026/218461,SIKAR(DISTRICT COLLECTOR SIKAR_IDA),AMRARAM,SIKAR,2026-05-05,Raju devi,Payment Success,3705,3705.0
12030,Gujarat,Construction of common work sheds/ common covered sitting area,WS/MP582/2025-2026/239542,SURAT(DISTRICT COLLECTOR SURAT_IDA),Prabhubhai Nagarbhai Vasava,BARDOLI(ST),2026-02-20,Gram Panchayat Bhatiya,Payment Success,300000,300000.0
12031,Chhattisgarh,Construction of buildings for community cultural activities,WS/MP568/2025-2026/193430,DURG(DISTRICT COLLECTOR DURG_IDA),Vijay Baghel,DURG,2026-02-23,SARPANCH SACHIV GRAM PANCHAYAT AMATI,Payment Success,600000,600000.0
12032,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18054/2025-2026/251471,MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA),HARIBHAI PATEL,MAHESANA,2026-03-26,SARPANCHSHRI LAXMIPURA GRAM PANCHAYAT,Payment Success,200000,200000.0
12033,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP588/2025-2026/218165,DEVBHUMI DWARKA(DISTRICT COLLECTOR DEVBHUMI DWARKA_IDA),Smt Poonamben Hematbhai Maadam,JAMNAGAR,2026-06-24,NAVI FOT GRAM PANCHAYAT,Payment Success,444120,444120.0
12034,Maharashtra,Providing drains and gutters for public drainage,WS/MP18131/2025-2026/191833,SINDHUDURG(DISTRICT COLLECTOR SINDHUDURG_IDA),NARAYAN TATU RANE,RATNAGIRI-SINDHUDURG,2026-08-10,GRAMPANCHAYAT WAGADE,Payment Success,999686,999686.0
12035,Odisha,Construction of public toilets and bathrooms,WS/MP370/2024-2025/145539,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Shri Jual Oram,SUNDARGARH (ST),2026-07-21,SHANKAR MAJHI,Payment Success,500000,500000.0
12036,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP727/2025-2026/250026,KOTA(DISTRICT COLLECTOR KOTA_IDA),Om Birla,KOTA,2026-02-21,RADHE CONSTRUCTION,Payment Success,386380,386380.0
12037,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP727/2025-2026/250026,KOTA(DISTRICT COLLECTOR KOTA_IDA),Om Birla,KOTA,2026-07-21,RADHE CONSTRUCTION,Payment Success,112462,112462.0
