work_id,total_disbursed,payment_count,vendor_count,max_single_payment,min_single_payment,avg_payment,vendor_payment_ratio,largest_payment_ratio,vendor_count_zscore,vendor_count_outlier,max_single_payment_zscore,max_single_payment_outlier,total_disbursed_zscore,total_disbursed_outlier,log_total_disbursed,log_max_payment,log_avg_payment
WS/MP654/2024-2025/149303,2498000.0,2,1,1249000.0,1249000.0,1249000.0,0.5,0.5,-0.15186309381776222,0,1.388691440878208,0,2.45326819101675,0,14.731001369987837,14.037854589747907,14.037854589747907
WS/MP654/2024-2025/149304,1000000.0,2,1,500000.0,500000.0,500000.0,0.5,0.5,-0.15186309381776222,0,0.12022730328821984,0,0.6225599927155062,0,13.815511557963774,13.122365377402328,13.122365377402328
WS/MP654/2024-2025/149305,740000.0,1,1,740000.0,740000.0,740000.0,1.0,1.0,-0.15186309381776222,0,0.5266777612609798,0,0.3048135764549432,0,13.51440681653079,13.51440681653079,13.51440681653079
WS/MP654/2024-2025/151713,1486300.0,2,1,750000.0,736300.0,743150.0,0.5,0.5046087600080738,-0.15186309381776222,0,0.5436131970098448,0,1.2168680012828592,0,14.21180104094844,13.527829818844937,13.518654533199495
WS/MP654/2024-2025/151714,1000000.0,2,1,500000.0,500000.0,500000.0,0.5,0.5,-0.15186309381776222,0,0.12022730328821984,0,0.6225599927155062,0,13.815511557963774,13.122365377402328,13.122365377402328
WS/MP654/2024-2025/156833,1000000.0,2,1,500000.0,500000.0,500000.0,0.5,0.5,-0.15186309381776222,0,0.12022730328821984,0,0.6225599927155062,0,13.815511557963774,13.122365377402328,13.122365377402328
WS/MP654/2024-2025/157994,1000000.0,2,1,500000.0,500000.0,500000.0,0.5,0.5,-0.15186309381776222,0,0.12022730328821984,0,0.6225599927155062,0,13.815511557963774,13.122365377402328,13.122365377402328
WS/MP654/2024-2025/169095,1000000.0,10,7,199500.0,15000.0,100000.0,0.7,0.1995,4.961334729660579,1,-0.3886825409651733,0,0.6225599927155062,0,13.815511557963774,12.20357452783082,11.51293546492023
WS/MP654/2024-2025/169096,300000.0,6,4,97000.0,5000.0,50000.0,0.6666666666666666,0.3233333333333333,2.4047358179214084,0,-0.5622707573910395,0,-0.23291112798600955,0,12.611541086966115,11.48247656671073,10.819798284210286
WS/MP654/2024-2025/172125,366964.0,2,1,305904.0,61060.0,183482.0,0.5,0.8336076563368614,-0.15186309381776222,0,-0.2084827304229502,0,-0.15107431637650054,0,12.813021754641493,12.631029875216267,12.119877299133359
WS/MP654/2024-2025/172126,366964.0,2,1,305904.0,61060.0,183482.0,0.5,0.8336076563368614,-0.15186309381776222,0,-0.2084827304229502,0,-0.15107431637650054,0,12.813021754641493,12.631029875216267,12.119877299133359
WS/MP654/2024-2025/172127,366964.0,2,1,305904.0,61060.0,183482.0,0.5,0.8336076563368614,-0.15186309381776222,0,-0.2084827304229502,0,-0.15107431637650054,0,12.813021754641493,12.631029875216267,12.119877299133359
WS/MP654/2024-2025/172128,366964.0,2,1,305904.0,61060.0,183482.0,0.5,0.8336076563368614,-0.15186309381776222,0,-0.2084827304229502,0,-0.15107431637650054,0,12.813021754641493,12.631029875216267,12.119877299133359
WS/MP654/2024-2025/172129,366964.0,2,1,305904.0,61060.0,183482.0,0.5,0.8336076563368614,-0.15186309381776222,0,-0.2084827304229502,0,-0.15107431637650054,0,12.813021754641493,12.631029875216267,12.119877299133359
WS/MP654/2024-2025/172130,366964.0,2,1,305904.0,61060.0,183482.0,0.5,0.8336076563368614,-0.15186309381776222,0,-0.2084827304229502,0,-0.15107431637650054,0,12.813021754641493,12.631029875216267,12.119877299133359
WS/MP654/2024-2025/172131,366964.0,2,1,305904.0,61060.0,183482.0,0.5,0.8336076563368614,-0.15186309381776222,0,-0.2084827304229502,0,-0.15107431637650054,0,12.813021754641493,12.631029875216267,12.119877299133359
WS/MP654/2024-2025/172132,366964.0,2,1,305904.0,61060.0,183482.0,0.5,0.8336076563368614,-0.15186309381776222,0,-0.2084827304229502,0,-0.15107431637650054,0,12.813021754641493,12.631029875216267,12.119877299133359
WS/MP654/2024-2025/173848,998500.0,2,1,500000.0,498500.0,499250.0,0.5,0.5007511266900351,-0.15186309381776222,0,0.12022730328821984,0,0.6207268403140029,0,13.814010433339758,13.122365377402328,13.120864254280562
WS/MP654/2024-2025/176419,1000000.0,2,1,500000.0,500000.0,500000.0,0.5,0.5,-0.15186309381776222,0,0.12022730328821984,0,0.6225599927155062,0,13.815511557963774,13.122365377402328,13.122365377402328
WS/MP654/2024-2025/177651,1000000.0,2,1,500000.0,500000.0,500000.0,0.5,0.5,-0.15186309381776222,0,0.12022730328821984,0,0.6225599927155062,0,13.815511557963774,13.122365377402328,13.122365377402328
WS/MP654/2024-2025/181580,999900.0,2,1,500000.0,499900.0,499950.0,0.5,0.5000500050005,-0.15186309381776222,0,0.12022730328821984,0,0.622437782555406,0,13.81541155306345,13.122365377402328,13.122265372602016
WS/MP654/2025-2026/169097,1496000.0,2,1,750000.0,746000.0,748000.0,0.5,0.5013368983957219,-0.15186309381776222,0,0.5436131970098448,0,1.2287223868125803,0,14.218306105965533,13.527829818844937,13.525159593854116
WS/MP654/2025-2026/172106,366370.0,2,1,244246.0,122124.0,183185.0,0.5,0.6666648470125829,-0.15186309381776222,0,-0.312903240163302,0,-0.15180024472749584,0,12.811401760178091,12.405935287332158,12.118257309088095
WS/MP654/2025-2026/172107,366370.0,2,1,244246.0,122124.0,183185.0,0.5,0.6666648470125829,-0.15186309381776222,0,-0.312903240163302,0,-0.15180024472749584,0,12.811401760178091,12.405935287332158,12.118257309088095
WS/MP654/2025-2026/172108,366370.0,2,1,244246.0,122124.0,183185.0,0.5,0.6666648470125829,-0.15186309381776222,0,-0.312903240163302,0,-0.15180024472749584,0,12.811401760178091,12.405935287332158,12.118257309088095
WS/MP654/2025-2026/172109,366370.0,2,1,244246.0,122124.0,183185.0,0.5,0.6666648470125829,-0.15186309381776222,0,-0.312903240163302,0,-0.15180024472749584,0,12.811401760178091,12.405935287332158,12.118257309088095
WS/MP654/2025-2026/172110,366370.0,2,1,244246.0,122124.0,183185.0,0.5,0.6666648470125829,-0.15186309381776222,0,-0.312903240163302,0,-0.15180024472749584,0,12.811401760178091,12.405935287332158,12.118257309088095
