sr_no,work_category,work,state,ida,work_description,honble_members_of_parliament,constituency,image,completion_date,amount_disbursed,work_id,amount
6510,Repair and Renovation,WS/MP18083/2024-2025/158585-Development of playfields and sports grounds,Karnataka,DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA),"Purchase of kabaddi mats for Kombettu Government Stadium, Puttur to encourage kabaddi sportsmen of Dakshina Kannada district.",CAPTAIN BRIJESH CHOWTA,DAKSHINA KANNADA,,2025-05-06,430000,WS/MP18083/2024-2025/158585,430000.0
6511,Normal/Others,"WS/MP18094/2025-2026/164508-Construction of roads, link roads, pathways or any other road with or without drainage system",Karnataka,UTTARA KANNADA(DEPUTY COMMISSIONER UTTARKANNADA KARWAR_IDA),Improvements to road from Domgera Kannada medium School to Manjunath Bolli house,VISHWESHWAR HEGDE KAGERI,UTTARA KANNADA,Images,2026-02-24,600000,WS/MP18094/2025-2026/164508,600000.0
6512,Normal/Others,WS/MP18212/2024-2025/161120-Lighting of public spaces,Uttar Pradesh,KHERI(DISTRICT MAGISTRAE KHERI_IDA),One Semi high mast light (6 light 200 watt)in every village,ANAND BHADAURIYA,DHAURAHRA,Images,2026-01-12,166017,WS/MP18212/2024-2025/161120,166017.0
6513,Normal/Others,WS/MP18226/2024-2025/168967-Lighting of public spaces,Uttar Pradesh,KHERI(DISTRICT MAGISTRAE KHERI_IDA),Installation work of a semi high mast light 6 way near the intersection of Bhagauti Mata Temple in village Raipur.,UTKARSH VERMA MADHUR,KHERI,,2026-01-21,166033,WS/MP18226/2024-2025/168967,166033.0
6514,Normal/Others,WS/MP18212/2024-2025/161119-Lighting of public spaces,Uttar Pradesh,KHERI(DISTRICT MAGISTRAE KHERI_IDA),One Semi high mast light (6 light 200 watt)in every village,ANAND BHADAURIYA,DHAURAHRA,Images,2026-01-12,166017,WS/MP18212/2024-2025/161119,166017.0
6515,Normal/Others,"WS/MP681/2024-2025/143981-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,PARBHANI(DISTRICT COLLECTOR PARBHANI_IDA),"Construction of CC road and Drains at tadkalas, tal.purna",Sanjay Haribhau Jadhav,PARBHANI,Images,2025-05-04,694100,WS/MP681/2024-2025/143981,694100.0
6516,Normal/Others,WS/MP681/2024-2025/134803-Construction of community centers and community halls,Maharashtra,PARBHANI(DISTRICT COLLECTOR PARBHANI_IDA),Construction of Sabhamandap at Itoli  Tal. Jintur Dist. Parbhani (under SC fund),Sanjay Haribhau Jadhav,PARBHANI,Images,2025-05-04,999904,WS/MP681/2024-2025/134803,999904.0
6517,Normal/Others,"WS/MP681/2024-2025/143980-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,PARBHANI(DISTRICT COLLECTOR PARBHANI_IDA),"Construction of CC road and Drains at satephal, tal.purna.",Sanjay Haribhau Jadhav,PARBHANI,Images,2025-05-07,699603,WS/MP681/2024-2025/143980,699603.0
6518,Normal/Others,"WS/MP681/2024-2025/143983-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,PARBHANI(DISTRICT COLLECTOR PARBHANI_IDA),"Construction of CC road and Drains at dhanora kale,tal.purna.",Sanjay Haribhau Jadhav,PARBHANI,Images,2025-05-04,699851,WS/MP681/2024-2025/143983,699851.0
6519,Normal/Others,WS/MP18155/2024-2025/161895-Fitting of Sitting RCC Benches in Public Places,Punjab,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),Installation of RCC  Benches in Public Places,DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),Images,2025-09-17,50000,WS/MP18155/2024-2025/161895,50000.0
