"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"14022","Punjab","Development of public parks","WS/MP18152/2024-2025/141161","MOGA(Deputy Commissioner Moga)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","18-Feb-2026","GURWINDER SINGH","Payment Success","37206"
"14023","Chhattisgarh","Construction of footpaths and pedestrian ways","WS/MP18336/2025-2026/263970","Balodabazar-Bhatapara(Collector Baloda Bazar_IDA)","BRIJMOHAN AGRAWAL","RAIPUR","09-Feb-2026","GRAM PANCHAYAT CHICHPOL IGR VRIDDHAWASTHA","Payment Success","375000"
"14024","Chhattisgarh","Construction of footpaths and pedestrian ways","WS/MP18336/2025-2026/263970","Balodabazar-Bhatapara(Collector Baloda Bazar_IDA)","BRIJMOHAN AGRAWAL","RAIPUR","15-Apr-2026","GRAM PANCHAYAT CHICHPOL IGR VRIDDHAWASTHA","Payment Success","125000"
"14025","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18336/2025-2026/269931","Balodabazar-Bhatapara(Collector Baloda Bazar_IDA)","BRIJMOHAN AGRAWAL","RAIPUR","27-Feb-2026","GRAM PANCHAYAT CHICHPOL IGR VRIDDHAWASTHA","Payment Success","375000"
"14026","Chhattisgarh","Construction of boundary walls of existing public and community buildings","WS/MP18336/2026-2027/298811","Balodabazar-Bhatapara(Collector Baloda Bazar_IDA)","BRIJMOHAN AGRAWAL","RAIPUR","17-Aug-2026","GRAM PANCHAYAT CHICHPOL IGR VRIDDHAWASTHA","Payment Success","375000"
"14027","Himachal Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18328/2025-2026/196722","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","03-Feb-2026","GP Halyatar","Payment Success","80000"
"14028","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18328/2025-2026/196723","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","03-Feb-2026","GP Halyatar","Payment Success","80000"
"14029","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18328/2025-2026/196723","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","24-Aug-2026","GP Halyatar","Payment Success","20000"
"14030","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18186/2025-2026/239099","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Sasikanth Senthil","TIRUVALLUR(SC)","06-Feb-2026","PS ENTERPRISES","Payment Success","1799897"
"14031","Meghalaya","Development of playfields and sports grounds","WS/MP18137/2025-2026/233755","RI BHOI(DEPUTY COMMISSIONER RIBHOI NONGPOH_IDA)","ANDREW J. SYNGKON","SHILLONG","11-Mar-2026","Synshai Jana","Payment Success","125000"
"14032","Meghalaya","Construction of rooms and halls in school and colleges","WS/MP18137/2025-2026/253335","RI BHOI(DEPUTY COMMISSIONER RIBHOI NONGPOH_IDA)","ANDREW J. SYNGKON","SHILLONG","11-Mar-2026","Ajida Marbaniang","Payment Success","250000"
"14033","Meghalaya","Construction of rooms and halls in school and colleges","WS/MP18137/2025-2026/233754","RI BHOI(DEPUTY COMMISSIONER RIBHOI NONGPOH_IDA)","ANDREW J. SYNGKON","SHILLONG","11-Mar-2026","Vicky Pale","Payment Success","250000"
"14034","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18111/2025-2026/187068","AKOLA(DISTRICT COLLECTOR AKOLA_IDA)","ANUP SANJAY DHOTRE","AKOLA","05-Feb-2026","SUHAS GULBRAO GOTMARE","Payment Success","987455"
"14035","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18111/2025-2026/177761","AKOLA(DISTRICT COLLECTOR AKOLA_IDA)","ANUP SANJAY DHOTRE","AKOLA","10-Feb-2026","SUHAS GULBRAO GOTMARE","Payment Success","985293"
"14036","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18345/2025-2026/225308","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","AKHILESH YADAV","KANNAUJ","10-Mar-2026","MS BALVEER SINGH YADAV CONTRACTOR","Payment Success","1030863"
"14037","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18345/2025-2026/225308","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","AKHILESH YADAV","KANNAUJ","20-Jul-2026","MS BALVEER SINGH YADAV CONTRACTOR","Payment Success","363831"
"14038","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP577/2025-2026/225008","Dahod(DISTRICT COLLECTOR DOHAD_IDA)","Jaswantsinh Sumanbhai Bhabhor","DAHOD(ST)","04-Feb-2026","GRAM PANCHAYAT GUNGARADI","Payment Success","245831"
"14039","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP577/2025-2026/199259","Dahod(DISTRICT COLLECTOR DOHAD_IDA)","Jaswantsinh Sumanbhai Bhabhor","DAHOD(ST)","04-Feb-2026","GRAM PANCHAYAT GUNGARADI","Payment Success","297899"
"14040","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18095/2025-2026/148832","ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA)","K. C VENUGOPAL","ALAPPUZHA","03-Feb-2026","ABDUL LATHEEF","Payment Success","973033"
"14041","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18095/2025-2026/148832","ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA)","K. C VENUGOPAL","ALAPPUZHA","24-Apr-2026","ABDUL LATHEEF","Payment Success","1022270"
"14042","Punjab","Providing drains and gutters for public drainage","WS/MP18154/2025-2026/259400","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","23-Jul-2026","Ghumman Spun Cement Pipe And Cement Store","Payment Success","240800"
"14043","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18154/2025-2026/216463","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","05-Feb-2026","Ghumman Spun Cement Pipe And Cement Store","Payment Success","94900"
"14044","Chhattisgarh","Development of playfields and sports grounds","WS/MP428/2025-2026/258116","Khairagarh-Chhuikhadan-Gandai(District Collector Khairagarh_IDA)","Santosh Pandey","RAJNANDGAON","05-Feb-2026","GRAM PANCHAYAT AKARJAN MULBHOOT","Payment Success","250000"
"14045","Chhattisgarh","Development of playfields and sports grounds","WS/MP428/2025-2026/258116","Khairagarh-Chhuikhadan-Gandai(District Collector Khairagarh_IDA)","Santosh Pandey","RAJNANDGAON","16-Apr-2026","GRAM PANCHAYAT AKARJAN MULBHOOT","Payment Success","250000"
"14046","Punjab","Purchase of mobile water tankers","WS/MP18314/2025-2026/208666","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","06-Aug-2026","GUPTA CONSTRUCTIONS AND CONSULTATIONS","Payment Success","495285"
"14047","Punjab","Installation of multi-gym equipment","WS/MP18314/2025-2026/259246","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","07-Apr-2026","GUPTA CONSTRUCTIONS AND CONSULTATIONS","Payment Success","220000"
"14048","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP18314/2025-2026/219494","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","23-Feb-2026","GUPTA CONSTRUCTIONS AND CONSULTATIONS","Payment Success","460660"
"14049","Kerala","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","WS/MP18423/2025-2026/180061","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Priyanka Gandhi Vadra","WAYANAD","18-Feb-2026","HOSPITAL MANAGEMENT COMMITTE","Payment Success","41293"
"14050","Kerala","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","WS/MP18423/2025-2026/180061","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Priyanka Gandhi Vadra","WAYANAD","29-May-2026","HOSPITAL MANAGEMENT COMMITTE","Payment Success","20775"
"14051","Chhattisgarh","Construction of community centers and community halls","WS/MP428/2025-2026/257599","RAJNANDGAON(DISTRICT COLLECTOR RAJNANDGAON_IDA)","Santosh Pandey","RAJNANDGAON","04-Feb-2026","gram panchayat pendri","Payment Success","125000"
"14052","Punjab","Development of playground","WS/MP18157/2025-2026/241195","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","05-Feb-2026","HARPREET SINGH","Payment Success","17400"
"14053","Punjab","Development of playground","WS/MP18157/2025-2026/241195","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","05-Feb-2026","HARPREET SINGH","Payment Success","17400"
"14054","Punjab","Development of playground","WS/MP18157/2025-2026/241195","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","05-Feb-2026","HARPREET SINGH","Payment Success","17400"
"14055","Punjab","Development of playground","WS/MP18157/2025-2026/241195","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","23-Feb-2026","HARPREET SINGH","Payment Success","17400"
"14056","Punjab","Development of playground","WS/MP18157/2025-2026/241195","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","23-Feb-2026","HARPREET SINGH","Payment Success","17400"
"14057","Punjab","Development of playground","WS/MP18157/2025-2026/241195","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","23-Feb-2026","HARPREET SINGH","Payment Success","17400"
"14058","Punjab","Development of playground","WS/MP18157/2025-2026/241195","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","24-Feb-2026","HARPREET SINGH","Payment Success","13250"
"14059","Assam","Construction of community centers and community halls","WS/MP18024/2025-2026/154710","SIVASAGAR(Deputy Commissioner Sivsagar_IDA)","GAURAV GOGOI","JORHAT","25-Feb-2026","PARAKHMONI KALITA","Payment Success","106420"
"14060","Assam","Construction of community centers and community halls","WS/MP18024/2025-2026/154710","SIVASAGAR(Deputy Commissioner Sivsagar_IDA)","GAURAV GOGOI","JORHAT","09-Jul-2026","PARAKHMONI KALITA","Payment Success","76510"
"14061","Assam","Construction of community centers and community halls","WS/MP18024/2025-2026/154710","SIVASAGAR(Deputy Commissioner Sivsagar_IDA)","GAURAV GOGOI","JORHAT","09-Jul-2026","PARAKHMONI KALITA","Payment Success","15960"
"14062","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/	 MP578/2024-2025/162111","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","06-Feb-2026","METHI GRAM PANCHAYT","Payment Success","200000"
"14063","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/	 MP578/2024-2025/162091","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","06-Feb-2026","METHI GRAM PANCHAYT","Payment Success","150000"
"14064","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/	 MP578/2024-2025/157186","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","06-Feb-2026","KURAI GRAM PANCHAYT","Payment Success","251700"
"14065","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/227470","Dudu(DISTRICT COLLECTOR Dudu_IDA)","Bhagirath Chaudhary","AJMER","24-Feb-2026","ABHI CONSTRUCTION","Payment Success","93879"
"14066","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/227470","Dudu(DISTRICT COLLECTOR Dudu_IDA)","Bhagirath Chaudhary","AJMER","24-Feb-2026","ABHI CONSTRUCTION","Payment Success","99051"
"14067","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/227470","Dudu(DISTRICT COLLECTOR Dudu_IDA)","Bhagirath Chaudhary","AJMER","24-Feb-2026","ABHI CONSTRUCTION","Payment Success","93082"
"14068","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/227470","Dudu(DISTRICT COLLECTOR Dudu_IDA)","Bhagirath Chaudhary","AJMER","24-Feb-2026","ABHI CONSTRUCTION","Payment Success","60264"
"14069","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/227470","Dudu(DISTRICT COLLECTOR Dudu_IDA)","Bhagirath Chaudhary","AJMER","24-Feb-2026","ABHI CONSTRUCTION","Payment Success","60082"
"14070","Gujarat","Purchase of smart boards, visual display units and projectors","WS/MP18057/2025-2026/226191","SURAT(DISTRICT COLLECTOR SURAT_IDA)","MUKESHKUMAR CHANDRAKAANT DALAL","SURAT","07-Feb-2026","PAR EXCELLENCE IT SOLUTIONS","Payment Success","273000"
"14071","Assam","Construction of buildings for community cultural activities","WS/MP18023/2025-2026/226086","KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA)","BIJULI KALITA MEDHI","GUWAHATI","05-Feb-2026","Construction of Stage at Japorigog Janajati Yubak Sangha","Payment Success","720000"
"14072","Assam","Construction of community centers and community halls","WS/MP18023/2025-2026/233947","KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA)","BIJULI KALITA MEDHI","GUWAHATI","05-Feb-2026","Construction of Community Hall near Shri Shri Radha Gobinda Mandir Seva Marup at Kekuranagar","Payment Success","300000"
"14073","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18263/2025-2026/166212","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","KOTA SRINIVAS POOJARY","UDUPI CHIKMAGALUR","05-Feb-2026","K S PRADEEP","Payment Success","199450"
"14074","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP18164/2025-2026/226456","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","KULDEEP INDORA","GANGANAGAR(SC)","06-Apr-2026","SAHARAN CONSTRUCTION COMPANY","Payment Success","537234"
"14075","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP18164/2025-2026/226456","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","KULDEEP INDORA","GANGANAGAR(SC)","17-Aug-2026","SAHARAN CONSTRUCTION COMPANY","Payment Success","202275"
"14076","Punjab","Construction of rooms and halls in school and colleges","WS/MP380/2025-2026/200776","FATEHGARH SAHIB(DEPUTY COMMISSIONER FATEHGARH SAHIB_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","18-Mar-2026","GURTEJ SINGH PANCH","Payment Success","30338"
"14077","Punjab","Construction of community centers and community halls","WS/MP380/2025-2026/200777","FATEHGARH SAHIB(DEPUTY COMMISSIONER FATEHGARH SAHIB_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","05-Feb-2026","GURTEJ SINGH PANCH","Payment Success","27580"
"14078","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP18160/2025-2026/240385","BARMER(DISTRICT COLLECTOR BARMER_IDA)","UMMEDA RAM BENIWAL","BARMER","10-Apr-2026","K S ENTERPRISES","Payment Success","500000"
"14079","Madhya Pradesh","Construction of rooms and halls in school and colleges","WS/MP18104/2025-2026/154226","NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA)","DARSHAN SINGH CHOUDHARY","HOSHANGABAD","05-Feb-2026","Sachiv gram panchayat Somalwada khurdChadone","Payment Success","75000"
"14080","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP380/2025-2026/238122","FATEHGARH SAHIB(DEPUTY COMMISSIONER FATEHGARH SAHIB_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","15-Feb-2026","Punjab iron store","Payment Success","261249"
"14081","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP380/2025-2026/238122","FATEHGARH SAHIB(DEPUTY COMMISSIONER FATEHGARH SAHIB_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","15-Feb-2026","MAAN CONCRETE","Payment Success","168000"
"14082","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP380/2025-2026/238122","FATEHGARH SAHIB(DEPUTY COMMISSIONER FATEHGARH SAHIB_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","15-Feb-2026","MISTRI BALWINDER SINGH","Payment Success","25586"
"14083","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP380/2025-2026/238122","FATEHGARH SAHIB(DEPUTY COMMISSIONER FATEHGARH SAHIB_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","15-Feb-2026","MISTRI BALWINDER SINGH","Payment Success","14414"
"14084","Tamil Nadu","Construction of community centers and community halls","WS/MP393/2025-2026/206619","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri Karti P Chidambaram","SIVAGANGA","04-Feb-2026","NAGARAJAN","Payment Success","699258"
"14085","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18111/2025-2026/187118","AKOLA(DISTRICT COLLECTOR AKOLA_IDA)","ANUP SANJAY DHOTRE","AKOLA","05-Feb-2026","GRAMPANCHAYAT KOTHA  SARPANCH SACHIV","Payment Success","984714"
"14086","Andhra Pradesh","Providing supply pipelines for drinking water","WS/MP18005/2025-2026/227330","Bapatla(DISTRICT COLLECTOR BAPATLA_IDA)","Krishna Prasad Tenneti","BAPATLA","25-Jun-2026","Pantani Naresh Kumar","Payment Success","1163025"
"14087","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18005/2025-2026/206887","Bapatla(DISTRICT COLLECTOR BAPATLA_IDA)","Krishna Prasad Tenneti","BAPATLA","11-Feb-2026","Pantani Naresh Kumar","Payment Success","298560"
"14088","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18005/2025-2026/206911","Bapatla(DISTRICT COLLECTOR BAPATLA_IDA)","Krishna Prasad Tenneti","BAPATLA","18-Apr-2026","Pantani Naresh Kumar","Payment Success","599922"
"14089","Madhya Pradesh","Development of playground","WS/MP18109/2025-2026/244367","SINGRAULI(District Collector Singrauli_IDA)","DR. RAJESH MISHRA","SIDHI","05-Feb-2026","AK Singh","Payment Success","1247500"
"14090","Odisha","Construction of public libraries and reading rooms","WS/MP300/2025-2026/199511","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","18-Jul-2026","RANJIT KUMAR BALABANTARAY","Payment Success","106619"
"14091","Chhattisgarh","Construction of community centers and community halls","WS/MP18336/2025-2026/240174","RAIPUR(DISTRICT COLLECTOR RAIPUR_IDA)","BRIJMOHAN AGRAWAL","RAIPUR","10-Feb-2026","SARPANCH GRAM PANCHAYAT GANAUD","Payment Success","500000"
"14092","Chhattisgarh","Construction of community centers and community halls","WS/MP18336/2025-2026/261971","RAIPUR(DISTRICT COLLECTOR RAIPUR_IDA)","BRIJMOHAN AGRAWAL","RAIPUR","09-Mar-2026","SARPANCH GRAM PANCHAYAT GANAUD","Payment Success","500000"
"14093","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18096/2025-2026/190931","THRISSUR(DISTRICT COLLECTOR THRISSUR_IDA)","SURESH GOPI","THRISSUR","19-Jun-2026","VIBINDAS","Payment Success","695475"
"14094","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18096/2025-2026/190931","THRISSUR(DISTRICT COLLECTOR THRISSUR_IDA)","SURESH GOPI","THRISSUR","23-Jul-2026","VIBINDAS","Payment Success","743477"
"14095","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18096/2025-2026/190904","THRISSUR(DISTRICT COLLECTOR THRISSUR_IDA)","SURESH GOPI","THRISSUR","18-Jun-2026","VIBINDAS","Payment Success","788923"
"14096","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18096/2025-2026/220751","THRISSUR(DISTRICT COLLECTOR THRISSUR_IDA)","SURESH GOPI","THRISSUR","18-Feb-2026","VIBINDAS","Payment Success","1071308"
"14097","Chhattisgarh","Construction of common work sheds/ common covered sitting area","WS/MP18049/2025-2026/181683","MUNGELI(Collector Mungeli_IDA)","TOKHAN SAHU","BILASPUR","27-Feb-2026","gram panchayat jhaphal","Payment Success","400000"
"14098","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP584/2025-2026/217166","MORBI(District collector Morbi_IDA)","Vinod Chavda","KACHCHH(SC)","18-Feb-2026","Meghpar Grampanchayat","Payment Success","300000"
"14099","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18164/2025-2026/259489","GANGANAGAR(Zilla GANGANAGAR)","KULDEEP INDORA","GANGANAGAR(SC)","25-Mar-2026","J AND D CONTRACTORS","Payment Success","999500"
"14100","Andhra Pradesh","Construction of rooms and halls in school and colleges","WS/MP18006/2025-2026/243907","CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)","DAGGUMALLA PRASADA RAO","CHITTOOR","05-Feb-2026","PRASAD JINKA","Payment Success","2223898"
"14101","Andhra Pradesh","Construction of rooms and halls in school and colleges","WS/MP18006/2025-2026/243907","CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)","DAGGUMALLA PRASADA RAO","CHITTOOR","07-Apr-2026","PRASAD JINKA","Payment Success","760900"
"14102","West Bengal","Purchase of furniture and fixtures for educational purposes","WS/MP829/2025-2026/219480","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Smt Sajda Ahmed","ULUBERIA","05-Feb-2026","AMAN ENTERPRISE","Payment Success","197133"
"14103","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP18160/2025-2026/176115","Balotra(DISTRICT COLLECTOR Balotra_IDA)","UMMEDA RAM BENIWAL","BARMER","05-Feb-2026","PALIWAL STONE SUPPLIER","Payment Success","500000"
"14104","Mizoram","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18138/2025-2026/253402","SAITUAL(Dy. Commissioners Office, Saitual)","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","13-Feb-2026","K Lianhmingthanga","Payment Success","375000"
"14105","Mizoram","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18138/2025-2026/253402","SAITUAL(Dy. Commissioners Office, Saitual)","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","12-Mar-2026","K Lianhmingthanga","Payment Success","125000"
"14106","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/202626","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","28-Feb-2026","Rajendra Singh","Payment Success","19504"
"14107","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18157/2025-2026/241179","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","04-Feb-2026","Sidhu and Company","Payment Success","47320"
"14108","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18157/2025-2026/241179","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","04-Feb-2026","Sidhu and Company","Payment Success","47320"
"14109","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18157/2025-2026/241179","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","04-Feb-2026","Sidhu and Company","Payment Success","47320"
"14110","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18157/2025-2026/241179","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","04-Feb-2026","Sidhu and Company","Payment Success","47320"
"14111","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18157/2025-2026/241179","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","04-Feb-2026","Sidhu and Company","Payment Success","47320"
"14112","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18157/2025-2026/241179","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","04-Feb-2026","Sidhu and Company","Payment Success","49504"
"14113","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18157/2025-2026/241179","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","04-Feb-2026","Sidhu and Company","Payment Success","49504"
"14114","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18157/2025-2026/241179","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","04-Feb-2026","Sidhu and Company","Payment Success","45681"
"14115","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18157/2025-2026/241179","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","04-Feb-2026","Sidhu and Company","Payment Success","79200"
"14116","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18157/2025-2026/241179","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","04-Feb-2026","Sidhu and Company","Payment Success","56002"
"14117","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18157/2025-2026/241179","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","04-Feb-2026","Sidhu and Company","Payment Success","75684"
"14118","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP380/2026-2027/279582","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","26-Jul-2026","Sidhu and Company","Payment Success","763557"
"14119","Punjab","Construction of public irrigation facilities","WS/MP18157/2025-2026/198811","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","28-Mar-2026","Sidhu and Company","Payment Success","52500"
"14120","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP716/2025-2026/203934","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","03-Feb-2026","Sai Enterprises","Payment Success","157117"
"14121","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP716/2025-2026/203936","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","05-May-2026","Sai Enterprises","Payment Success","50882"
"14122","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP716/2025-2026/203937","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","02-Feb-2026","Sai Enterprises","Payment Success","45840"
