"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"15846","Himachal Pradesh","Construction of community centers and community halls","WS/MP18069/2025-2026/244092","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","05-Mar-2026","SDSCO Palampur","Payment Success","190247"
"15847","Chhattisgarh","Construction of buildings for community cultural activities","WS/MP18048/2025-2026/209916","SUKMA(Collector Sukma_IDA)","MAHESH KASHYAP","BASTAR(ST)","15-Jan-2026","GP Murtonda","Payment Success","500000"
"15848","West Bengal","Purchase of ambulances (Four, three and two wheelers)","WS/MP826/2025-2026/197532","KALIMPONG(District Magistrate Kalimpong_IDA)","Raju Bista","DARJEELING","24-Mar-2026","NITESH PRADHAN","Payment Success","894000"
"15849","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP18267/2025-2026/173729","KRISHNAGIRI(DISTRICT COLLECTOR KRISHNAGIRI_IDA)","GOPINATH K","KRISHNAGIRI","19-Jan-2026","Venkatesh R","Payment Success","583963"
"15850","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18155/2024-2025/141775","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","14-Jan-2026","Ms Kalsi Building Material Dasuya","Payment Success","64100"
"15851","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP18312/2025-2026/187829","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","DURAI VAIKO","TIRUCHIRAPPALLI","09-Jan-2026","MGNREGS Convergence Fund BDO VPts Gandarvakottai","Payment Success","650000"
"15852","Bihar","Construction of rooms and halls in school and colleges","WS/MP18034/2025-2026/212356","VAISHALI(DISTRICT PLANNING OFFICER VAISHALI_IDA)","CHIRAG PASWAN","HAJIPUR(SC)","12-Jan-2026","KUNAL KUMAR","Payment Success","984031"
"15853","Bihar","Construction of rooms and halls in school and colleges","WS/MP18034/2025-2026/212337","VAISHALI(DISTRICT PLANNING OFFICER VAISHALI_IDA)","CHIRAG PASWAN","HAJIPUR(SC)","07-Mar-2026","KUNAL KUMAR","Payment Success","979617"
"15854","Haryana","Improvement of electricity distribution infrastructure","WS/MP18066/2025-2026/203804","FATEHABAD(Deputy Commissioner Fatehabad)","SELJA","SIRSA(SC)","22-Jan-2026","RAJDHANI ENGINEERING","Payment Success","95188"
"15855","Haryana","Improvement of electricity distribution infrastructure","WS/MP18066/2025-2026/203804","FATEHABAD(Deputy Commissioner Fatehabad)","SELJA","SIRSA(SC)","02-Mar-2026","RAJDHANI ENGINEERING","Payment Success","195776"
"15856","Haryana","Improvement of electricity distribution infrastructure","WS/MP18066/2025-2026/209570","FATEHABAD(Deputy Commissioner Fatehabad)","SELJA","SIRSA(SC)","20-Mar-2026","RAJDHANI ENGINEERING","Payment Success","86491"
"15857","Haryana","Improvement of electricity distribution infrastructure","WS/MP18066/2025-2026/209570","FATEHABAD(Deputy Commissioner Fatehabad)","SELJA","SIRSA(SC)","20-Mar-2026","RAJDHANI ENGINEERING","Payment Success","7009"
"15858","Haryana","Improvement of electricity distribution infrastructure","WS/MP18066/2025-2026/209572","FATEHABAD(Deputy Commissioner Fatehabad)","SELJA","SIRSA(SC)","22-Jan-2026","RAJDHANI ENGINEERING","Payment Success","104208"
"15859","Haryana","Improvement of electricity distribution infrastructure","WS/MP18066/2025-2026/209572","FATEHABAD(Deputy Commissioner Fatehabad)","SELJA","SIRSA(SC)","02-Mar-2026","RAJDHANI ENGINEERING","Payment Success","159649"
"15860","Haryana","Improvement of electricity distribution infrastructure","WS/MP18066/2025-2026/209573","FATEHABAD(Deputy Commissioner Fatehabad)","SELJA","SIRSA(SC)","14-Jan-2026","RAJDHANI ENGINEERING","Payment Success","279206"
"15861","Haryana","Improvement of electricity distribution infrastructure","WS/MP18066/2025-2026/209573","FATEHABAD(Deputy Commissioner Fatehabad)","SELJA","SIRSA(SC)","14-Jan-2026","RAJDHANI ENGINEERING","Payment Success","84794"
"15862","Haryana","Improvement of electricity distribution infrastructure","WS/MP18066/2025-2026/202303","FATEHABAD(Deputy Commissioner Fatehabad)","SELJA","SIRSA(SC)","22-Jan-2026","RAJDHANI ENGINEERING","Payment Success","103499"
"15863","Haryana","Improvement of electricity distribution infrastructure","WS/MP18066/2025-2026/202303","FATEHABAD(Deputy Commissioner Fatehabad)","SELJA","SIRSA(SC)","02-Mar-2026","RAJDHANI ENGINEERING","Payment Success","254812"
