"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"26138","Madhya Pradesh","Construction of public irrigation facilities","WS/MP444/2025-2026/178196","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey","BETUL(ST)","22-Nov-2025","MS SAWARIYA TRADERS","Payment Success","34460"
"26139","Madhya Pradesh","Construction of public irrigation facilities","WS/MP444/2025-2026/178196","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey","BETUL(ST)","22-Nov-2025","MS SAWARIYA TRADERS","Payment Success","34460"
"26140","Madhya Pradesh","Construction of public irrigation facilities","WS/MP444/2025-2026/178196","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey","BETUL(ST)","22-Nov-2025","PAWAN HARDWARE","Payment Success","82500"
"26141","Madhya Pradesh","Construction of public irrigation facilities","WS/MP444/2025-2026/178196","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey","BETUL(ST)","22-Nov-2025","PAWAN HARDWARE","Payment Success","82500"
"26142","Madhya Pradesh","Construction of public irrigation facilities","WS/MP444/2025-2026/178196","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey","BETUL(ST)","22-Nov-2025","PAWAN HARDWARE","Payment Success","82500"
"26143","Madhya Pradesh","Construction of public irrigation facilities","WS/MP444/2025-2026/178196","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey","BETUL(ST)","22-Nov-2025","PAWAN HARDWARE","Payment Success","82500"
"26144","Madhya Pradesh","Construction of public irrigation facilities","WS/MP444/2025-2026/178196","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey","BETUL(ST)","15-Jan-2026","PRABHU WELDING WORK SHOP","Payment Success","85712"
"26145","Madhya Pradesh","Construction of public irrigation facilities","WS/MP444/2025-2026/178196","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey","BETUL(ST)","15-Jan-2026","PRABHU WELDING WORK SHOP","Payment Success","24614"
"26146","Madhya Pradesh","Construction of public irrigation facilities","WS/MP444/2025-2026/178196","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey","BETUL(ST)","15-Jan-2026","SWASTIK TRADERS","Payment Success","73025"
"26147","Madhya Pradesh","Construction of public irrigation facilities","WS/MP444/2025-2026/178196","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey","BETUL(ST)","29-Oct-2025","BHAGRATI","Payment Success","11440"
"26148","Madhya Pradesh","Construction of public irrigation facilities","WS/MP444/2025-2026/178196","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey","BETUL(ST)","29-Oct-2025","RAMBAI","Payment Success","31100"
"26149","Madhya Pradesh","Construction of public irrigation facilities","WS/MP444/2025-2026/178196","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey","BETUL(ST)","29-Oct-2025","DASMA","Payment Success","10400"
"26150","Madhya Pradesh","Construction of public irrigation facilities","WS/MP444/2025-2026/178196","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey","BETUL(ST)","29-Oct-2025","SANGEETA PARTE","Payment Success","7800"
"26151","Madhya Pradesh","Construction of public irrigation facilities","WS/MP444/2025-2026/178196","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey","BETUL(ST)","29-Oct-2025","MANISHA","Payment Success","7800"
"26152","Madhya Pradesh","Construction of public irrigation facilities","WS/MP444/2025-2026/178196","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey","BETUL(ST)","29-Oct-2025","BHAJANLAL","Payment Success","7800"
"26153","Madhya Pradesh","Construction of public irrigation facilities","WS/MP444/2025-2026/178196","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey","BETUL(ST)","29-Oct-2025","KISHANLAL","Payment Success","8320"
"26154","Madhya Pradesh","Construction of public irrigation facilities","WS/MP444/2025-2026/178196","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey","BETUL(ST)","29-Oct-2025","RAHUL KAROCHE","Payment Success","9100"
"26155","Madhya Pradesh","Construction of public irrigation facilities","WS/MP444/2025-2026/178196","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey","BETUL(ST)","29-Oct-2025","PARMI KAROCHE","Payment Success","6240"
"26156","Madhya Pradesh","Construction of public irrigation facilities","WS/MP444/2025-2026/178196","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey","BETUL(ST)","29-Oct-2025","SANGEETA DHURVE","Payment Success","7020"
"26157","Madhya Pradesh","Construction of public irrigation facilities","WS/MP444/2025-2026/178196","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey","BETUL(ST)","29-Oct-2025","VIJAY KAROCHE","Payment Success","6500"
"26158","Madhya Pradesh","Construction of public irrigation facilities","WS/MP444/2025-2026/178196","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey","BETUL(ST)","29-Oct-2025","LILMA","Payment Success","6500"
"26159","Madhya Pradesh","Construction of public irrigation facilities","WS/MP444/2025-2026/178196","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey","BETUL(ST)","29-Oct-2025","KANAHIYA","Payment Success","7020"
"26160","Madhya Pradesh","Construction of public irrigation facilities","WS/MP444/2025-2026/178196","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey","BETUL(ST)","29-Oct-2025","SUGANTI PANDRAM","Payment Success","10400"
"26161","Madhya Pradesh","Construction of public irrigation facilities","WS/MP444/2025-2026/178196","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey","BETUL(ST)","29-Oct-2025","NEKRAM","Payment Success","5460"
"26162","Madhya Pradesh","Construction of public irrigation facilities","WS/MP444/2025-2026/178196","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey","BETUL(ST)","29-Oct-2025","ANKIT KUMRE","Payment Success","3640"
"26163","Madhya Pradesh","Construction of public irrigation facilities","WS/MP444/2025-2026/178196","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey","BETUL(ST)","29-Oct-2025","ARUN VISHVAKARMA","Payment Success","28600"
"26164","Madhya Pradesh","Construction of public irrigation facilities","WS/MP444/2025-2026/178196","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey","BETUL(ST)","29-Oct-2025","NARABDI NAVDE","Payment Success","3120"
"26165","Madhya Pradesh","Construction of public irrigation facilities","WS/MP444/2025-2026/178196","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey","BETUL(ST)","29-Oct-2025","GAYATRI KAROCHE","Payment Success","3120"
"26166","Madhya Pradesh","Construction of public irrigation facilities","WS/MP444/2025-2026/178196","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey","BETUL(ST)","29-Oct-2025","SUKHRAM EVANE","Payment Success","8320"
"26167","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP818/2025-2026/193468","ETAWAH(DISTRICT MAGISTRATE ETAWAH_IDA)","Smt Dimple Yadav","MAINPURI","13-Oct-2025","Ms Sarla Enterpreneur","Payment Success","2473814"
"26168","Madhya Pradesh","Construction of public irrigation facilities","WS/MP444/2025-2026/178196","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey","BETUL(ST)","29-Oct-2025","SHUNITA EVANE","Payment Success","8320"
"26169","Uttar Pradesh","Construction of additional rooms and halls in the existing public and community building","WS/MP812/2025-2026/206120","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Vijay Kumar Dubey","KUSHI NAGAR","13-Oct-2025","Late Ram Sunder Shukls Smarak Kanya Inter Collage Sikatiya","Payment Success","180000"
"26170","Andhra Pradesh","Installing hand pumps","WS/MP18014/2025-2026/186177","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","PRABHAKAR REDDY VEMIREDDY","NELLORE(SC)","29-Sep-2025","Virvuru Chenchaiah","Payment Success","299649"
"26171","Andhra Pradesh","Providing supply pipelines for drinking water","WS/MP18014/2025-2026/186178","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","PRABHAKAR REDDY VEMIREDDY","NELLORE(SC)","04-Oct-2025","Virvuru Chenchaiah","Payment Success","249707"
"26172","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18222/2025-2026/177272","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","06-Jan-2026","SHYAM JI ENTERPRISES","Payment Success","1103125"
"26173","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18222/2025-2026/177296","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","06-Jan-2026","SHYAM JI ENTERPRISES","Payment Success","1512946"
"26174","Kerala","Purchase of vans and buses for educational institutions","WS/MP347/2025-2026/150748","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Shri Suresh Kodikunnil","MAVELIKKARA(SC)","19-Nov-2025","St Berchmans College","Payment Success","92288"
"26175","Madhya Pradesh","Construction of public irrigation facilities","WS/MP444/2025-2026/178196","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey","BETUL(ST)","29-Oct-2025","MANAK BRAJLAL EVANE","Payment Success","19800"
"26176","Maharashtra","Construction of rooms and halls in school and colleges","WS/MP18118/2025-2026/159252","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","BHASKAR MURLIDHAR BHAGARE","DINDORI(ST)","30-Sep-2025","ANUPMA RAI MEMORIAL COLLEGE OF EDUCATION","Payment Success","614451"
"26177","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP568/2025-2026/217894","BEMETARA(Collector Bemetara_IDA)","Vijay Baghel","DURG","29-Sep-2025","SARPANCH SACHIV GRAM PANCHAYT SINDEHI","Payment Success","216000"
"26178","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/202634","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","16-Oct-2025","N A Contractor","Payment Success","75291"
"26179","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/202634","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","16-Oct-2025","Prakash Chandra Budhlakoti","Payment Success","13167"
"26180","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/202626","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","28-Feb-2026","Prakash Chandra Budhlakoti","Payment Success","20654"
"26181","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/202634","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","16-Oct-2025","Naveen Singh","Payment Success","13919"
"26182","Karnataka","Construction of community centers and community halls","WS/MP18079/2025-2026/167737","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","SAGAR ESHWAR KHANDRE","BIDAR","30-Sep-2025","SURESH","Payment Success","201091"
"26183","Karnataka","Construction of community centers and community halls","WS/MP18079/2025-2026/167737","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","SAGAR ESHWAR KHANDRE","BIDAR","15-Jul-2026","SURESH","Payment Success","173159"
"26184","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/202634","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","16-Oct-2025","Bhawani Devi","Payment Success","13167"
"26185","Telangana","Construction of additional rooms and halls in the existing public and community building","WS/MP18189/2025-2026/192781","KHAMMAM(DISTRICT COLLECTOR KHAMMAM_IDA)","RAMASAHAYAM RAGHURAM REDDY","KHAMMAM","22-Oct-2025","SRI RAMA INFRA PROJECTS","Payment Success","999146"
"26186","Rajasthan","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP18169/2025-2026/209242","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","MAHIMA KUMARI MEWAR","RAJSAMAND","19-Mar-2026","DR TRADING COMPANY","Payment Success","1439571"
"26187","Rajasthan","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP18169/2025-2026/209242","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","MAHIMA KUMARI MEWAR","RAJSAMAND","20-Apr-2026","DR TRADING COMPANY","Payment Success","560189"
"26188","Rajasthan","Construction of buildings for community cultural activities","WS/MP18169/2025-2026/185553","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","MAHIMA KUMARI MEWAR","RAJSAMAND","01-Oct-2025","DR TRADING COMPANY","Payment Success","998929"
"26189","Andhra Pradesh","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP18007/2024-2025/149399","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","27-Oct-2025","TANU INFRASTRUCTURE","Payment Success","1424200"
"26190","Andhra Pradesh","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP18007/2024-2025/149399","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","06-Mar-2026","TANU INFRASTRUCTURE","Payment Success","1773991"
"26191","Andhra Pradesh","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP18007/2024-2025/149400","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","27-Oct-2025","TANU INFRASTRUCTURE","Payment Success","1394505"
"26192","Andhra Pradesh","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP18007/2024-2025/149400","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","06-Mar-2026","TANU INFRASTRUCTURE","Payment Success","1804228"
"26193","Andhra Pradesh","Construction of community centers and community halls","WS/MP18007/2024-2025/147244","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","01-Apr-2026","TANU INFRASTRUCTURE","Payment Success","1863616"
"26194","Punjab","Providing drains and gutters for public drainage","WS/MP716/2024-2025/178099","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","03-Oct-2025","SHREE BALAJI CEMENT STORE","Payment Success","15592"
"26195","Punjab","Providing drains and gutters for public drainage","WS/MP716/2024-2025/178099","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","03-Oct-2025","GTB ENTERPRISES","Payment Success","43200"
"26196","Punjab","Providing drains and gutters for public drainage","WS/MP716/2024-2025/178099","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","03-Oct-2025","GTB ENTERPRISES","Payment Success","49497"
"26197","Uttar Pradesh","Street lights","WS/MP18205/2025-2026/177613","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","SANATAN PANDEY","BALLIA","11-Feb-2026","SHRI SAI ENGINEERING WORKS","Payment Success","263675"
"26198","Uttar Pradesh","Street lights","WS/MP18205/2025-2026/177639","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","SANATAN PANDEY","BALLIA","26-Dec-2025","SHRI SAI ENGINEERING WORKS","Payment Success","263675"
"26199","Uttar Pradesh","Street lights","WS/MP18205/2025-2026/177640","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","SANATAN PANDEY","BALLIA","26-Dec-2025","SHRI SAI ENGINEERING WORKS","Payment Success","263675"
"26200","Uttar Pradesh","Street lights","WS/MP18205/2025-2026/177641","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","SANATAN PANDEY","BALLIA","26-Dec-2025","SHRI SAI ENGINEERING WORKS","Payment Success","263675"
"26201","Uttar Pradesh","Street lights","WS/MP18205/2025-2026/177642","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","SANATAN PANDEY","BALLIA","26-Dec-2025","SHRI SAI ENGINEERING WORKS","Payment Success","263675"
"26202","Uttar Pradesh","Street lights","WS/MP18205/2025-2026/177643","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","SANATAN PANDEY","BALLIA","26-Dec-2025","SHRI SAI ENGINEERING WORKS","Payment Success","263675"
"26203","Uttar Pradesh","Street lights","WS/MP18205/2025-2026/177644","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","SANATAN PANDEY","BALLIA","26-Dec-2025","SHRI SAI ENGINEERING WORKS","Payment Success","263675"
"26204","Uttar Pradesh","Street lights","WS/MP18205/2025-2026/177645","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","SANATAN PANDEY","BALLIA","26-Dec-2025","SHRI SAI ENGINEERING WORKS","Payment Success","263675"
"26205","Uttar Pradesh","Street lights","WS/MP18205/2025-2026/177621","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","SANATAN PANDEY","BALLIA","11-Feb-2026","SHRI SAI ENGINEERING WORKS","Payment Success","263675"
"26206","Uttar Pradesh","Street lights","WS/MP18205/2025-2026/177622","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","SANATAN PANDEY","BALLIA","26-Dec-2025","SHRI SAI ENGINEERING WORKS","Payment Success","263675"
"26207","Uttar Pradesh","Street lights","WS/MP18205/2025-2026/177623","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","SANATAN PANDEY","BALLIA","26-Dec-2025","SHRI SAI ENGINEERING WORKS","Payment Success","263675"
"26208","Uttar Pradesh","Street lights","WS/MP18205/2025-2026/177624","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","SANATAN PANDEY","BALLIA","26-Dec-2025","SHRI SAI ENGINEERING WORKS","Payment Success","263675"
"26209","Uttar Pradesh","Street lights","WS/MP18205/2025-2026/177611","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","SANATAN PANDEY","BALLIA","11-Feb-2026","SHRI SAI ENGINEERING WORKS","Payment Success","263675"
"26210","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP458/2025-2026/180146","Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA)","Kanimozhi Karunanidhi","THOOTHUKKUDI","23-Sep-2025","K MUTHURAMAN","Payment Success","400000"
"26211","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP422/2025-2026/192687","SUPAUL(DISTRICT PLANNING OFFICER SUPAUL_IDA)","Dileshwar Kamait","SUPAUL","25-Sep-2025","SANJAY KUMAR","Payment Success","1195952"
"26212","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/178129","Udham Singh Nagar(DISTRICT MAGISTRATE UDHAMSINGH NAGAR_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","03-Oct-2025","Jai Badrivishal Construction and Traders","Payment Success","493602"
"26213","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/208920","Udham Singh Nagar(DISTRICT MAGISTRATE UDHAMSINGH NAGAR_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","24-Apr-2026","Jai Badrivishal Construction and Traders","Payment Success","187017"
"26214","Odisha","Construction of community centers and community halls","WS/MP372/2025-2026/185275","Kataka(DISTRICT COLLECTOR CUTTACK_IDA)","Shri Bhartruhari Mahtab","CUTTACK","23-Sep-2025","SAMARESH KUMAR BHUYAN","Payment Success","300000"
"26215","Telangana","Installing tube-wells and borewells","WS/MP18389/2025-2026/163821","JAYASHANKAR BHUPALAPALLY(DISTRICT COLLECTOR JAYASHANKAR BHUPALPALLY_IDA)","KADIYAM KAVYA","WARANGEL(SC)","24-Sep-2025","PREMALATHA POLU","Payment Success","196883"
"26216","Jammu And Kashmir","Establishing public lift irrigation projects","WS/MP18379/2025-2026/211614","KUPWARA(Deputy Commissioner Kupwara_IDA)","ABDUL RASHID SHEIKH","BARAMULLAH","04-Nov-2025","Junaid Rahim Shagoo","Payment Success","2592043"
"26217","Gujarat","Construction of common work sheds/ common covered sitting area","WS/MP574/2025-2026/183676","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Bharatsinhji Shankarji Dabhi","PATAN","23-Sep-2025","ARDUVADA GRAM PANCHAYAT","Payment Success","300000"
"26218","Karnataka","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP18263/2025-2026/163671","UDUPI(DEPUTY COMMISSIONER UDUPI_IDA)","KOTA SRINIVAS POOJARY","UDUPI CHIKMAGALUR","25-Sep-2025","GIRISH KUNDAPUR NAYAK","Payment Success","500000"
"26219","Karnataka","Installing community drinking water plants","WS/MP18081/2025-2026/164565","BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN)","DR.K.SUDHAKAR","CHIKBALLAPUR","29-Oct-2025","NIRMITHI KENDRA BANGALORE RURAL DISTRICT","Payment Success","583487"
"26220","Karnataka","Installing community drinking water plants","WS/MP18081/2025-2026/164538","BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN)","DR.K.SUDHAKAR","CHIKBALLAPUR","02-Dec-2025","NIRMITHI KENDRA BANGALORE RURAL DISTRICT","Payment Success","400000"
"26221","Karnataka","Installing community drinking water plants","WS/MP18081/2025-2026/164538","BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN)","DR.K.SUDHAKAR","CHIKBALLAPUR","25-Jun-2026","NIRMITHI KENDRA BANGALORE RURAL DISTRICT","Payment Success","400000"
"26222","Karnataka","Construction of bus-sheds or bus-stops","WS/MP18081/2025-2026/164557","BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN)","DR.K.SUDHAKAR","CHIKBALLAPUR","15-Oct-2025","NIRMITHI KENDRA BANGALORE RURAL DISTRICT","Payment Success","530598"
"26223","Karnataka","Installing community drinking water plants","WS/MP18081/2025-2026/164575","BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN)","DR.K.SUDHAKAR","CHIKBALLAPUR","15-Oct-2025","NIRMITHI KENDRA BANGALORE RURAL DISTRICT","Payment Success","400000"
"26224","Karnataka","Installing community drinking water plants","WS/MP18081/2025-2026/164576","BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN)","DR.K.SUDHAKAR","CHIKBALLAPUR","15-Oct-2025","NIRMITHI KENDRA BANGALORE RURAL DISTRICT","Payment Success","400000"
"26225","Karnataka","Construction of bus-sheds or bus-stops","WS/MP18081/2025-2026/164549","BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN)","DR.K.SUDHAKAR","CHIKBALLAPUR","30-Sep-2025","NIRMITHI KENDRA BANGALORE RURAL DISTRICT","Payment Success","500000"
"26226","Karnataka","Installing community drinking water plants","WS/MP18081/2025-2026/238031","BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN)","DR.K.SUDHAKAR","CHIKBALLAPUR","29-Jul-2026","NIRMITHI KENDRA BANGALORE RURAL DISTRICT","Payment Success","400000"
"26227","Karnataka","Installing community drinking water plants","WS/MP18081/2026-2027/258981","BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN)","DR.K.SUDHAKAR","CHIKBALLAPUR","29-Jul-2026","NIRMITHI KENDRA BANGALORE RURAL DISTRICT","Payment Success","400000"
"26228","Karnataka","Construction of bus-sheds or bus-stops","WS/MP18081/2026-2027/258982","BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN)","DR.K.SUDHAKAR","CHIKBALLAPUR","29-Jul-2026","NIRMITHI KENDRA BANGALORE RURAL DISTRICT","Payment Success","500000"
"26229","Karnataka","Installing community drinking water plants","WS/MP18081/2026-2027/258993","BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN)","DR.K.SUDHAKAR","CHIKBALLAPUR","29-Jul-2026","NIRMITHI KENDRA BANGALORE RURAL DISTRICT","Payment Success","400000"
"26230","Karnataka","Construction of rooms and halls in school and colleges","WS/MP18081/2026-2027/258995","BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN)","DR.K.SUDHAKAR","CHIKBALLAPUR","10-Jul-2026","NIRMITHI KENDRA BANGALORE RURAL DISTRICT","Payment Success","250000"
"26231","Karnataka","Construction of bus-sheds or bus-stops","WS/MP18081/2025-2026/164553","BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN)","DR.K.SUDHAKAR","CHIKBALLAPUR","15-Oct-2025","NIRMITHI KENDRA BANGALORE RURAL DISTRICT","Payment Success","530617"
"26232","Karnataka","Construction of bus-sheds or bus-stops","WS/MP18081/2025-2026/164631","BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN)","DR.K.SUDHAKAR","CHIKBALLAPUR","02-Dec-2025","NIRMITHI KENDRA BANGALORE RURAL DISTRICT","Payment Success","500000"
"26233","Karnataka","Construction of bus-sheds or bus-stops","WS/MP18081/2025-2026/164629","BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN)","DR.K.SUDHAKAR","CHIKBALLAPUR","02-Dec-2025","NIRMITHI KENDRA BANGALORE RURAL DISTRICT","Payment Success","500000"
"26234","Karnataka","Construction of bus-sheds or bus-stops","WS/MP18081/2025-2026/164060","BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN)","DR.K.SUDHAKAR","CHIKBALLAPUR","16-Jan-2026","NIRMITHI KENDRA BANGALORE RURAL DISTRICT","Payment Success","500000"
"26235","Karnataka","Construction of bus-sheds or bus-stops","WS/MP18081/2025-2026/157247","BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN)","DR.K.SUDHAKAR","CHIKBALLAPUR","16-Jan-2026","NIRMITHI KENDRA BANGALORE RURAL DISTRICT","Payment Success","500000"
"26236","Karnataka","Construction of bus-sheds or bus-stops","WS/MP18081/2025-2026/157247","BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN)","DR.K.SUDHAKAR","CHIKBALLAPUR","09-Jul-2026","NIRMITHI KENDRA BANGALORE RURAL DISTRICT","Payment Success","500000"
"26237","Karnataka","Installing community drinking water plants","WS/MP18081/2025-2026/157234","BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN)","DR.K.SUDHAKAR","CHIKBALLAPUR","16-Jan-2026","NIRMITHI KENDRA BANGALORE RURAL DISTRICT","Payment Success","400000"
"26238","Karnataka","Installing community drinking water plants","WS/MP18081/2025-2026/157234","BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN)","DR.K.SUDHAKAR","CHIKBALLAPUR","09-Jul-2026","NIRMITHI KENDRA BANGALORE RURAL DISTRICT","Payment Success","400000"
